Comment: jenchro said "Love my sibs 💞 #photobooth #weddingseason #ErinandBrock #Arizona #fabfour"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
Comment: toughtraining said "Raw shot of my Saturday night. This WOD was based on a similar WOD by fellow Spartan Pro Team athlete @dropthehammerr with a little added twist to up the forearm and grip strength recruitment. 🚴🏄
10-9-8-7-6-5-4-3-2-1
Pull-ups 
Push-ups
Toes-to-bar

Goal is to go unbroken and as fast as possible. 
#livethetoughlife"
Comment: ismokeraz said "#legalize #hope #love #sisters #miss you  #cannabiscommunity #cannabis #azsmokers #azstoners #highsociety #livingthehighlife"
Comment: maudie_maude said "Looking vry much forward to the weekend of April 17 - 19. Cracker A$$ Fantastic - LA bound. @claire_eliza_gee @sophie_labelle ... Shoulda had one of these in the good ole days eh?"
Comment: bjanderson34 said "An intelligent bird gives you a real world game of operation: reach in and get the eggs, but touch the sides and get cholla'd."
Comment: miakucinski said "A tough hike today. #TomsThumb in #McDowellMountainSonoranPreserve #NorthScottsdale #Azhiking #52hikechallenge #rei1440project"
Comment: toughtraining said "Spa Day? Nah, just a #toughtraining dinner. 
1⃣Grilled Salmon
2⃣Steamed Asparagus
3⃣Halved Cherry Tomatoes

All dressed with olive oil, salt and garlic salt grind from TJs. 
#livethetoughlife"
Comment: katie_culbertson2 said "You'll find me on a mountain.😊☁🍃"
Comment: mommyjilll said "Dyl pickle."
Comment: laurenisenhart said "happy birthday to my best friend❤️ although we fight like sisters I couldn't imagine life without you. favorite memory of us-watching the sunrise our last day in Mexico; waking up way too early and wearing our pajamas down to the beach. ANYWAY LOVE U HANNAH THAT WAS WAY TOO SENTIMENTAL UR DUMB LOL 💋💋💋 don't get your license bc you can't. 😉 1⃣6⃣"
Comment: pattyh58 said "Best buds"
Comment: pattyh58 said "BFFs 😊🌵"
Comment: tjehn said "Party weekend !! 🍹🍷🍻"
Comment: aguerrero99 said "Don't come more genuine then my guy Brock!"
Comment: hey.kristin said "Congratulations Mr & Mrs Osweiler! We are so happy for you, such a gorgeous wedding and an even prettier bride 😘"
Comment: aguerrero99 said "Why am I so lucky? #MrsGuerrero #OsweilerWedding"
Comment: marlzdub said "🙌🙌🙌"
